latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.001758,76.99468,431.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2024-11-16,26.8,21.9,13.50,89
2024-11-17,28.7,21.8,18.00,86
2024-11-18,27.9,21.3,0.50,80
2024-11-19,28.8,22.0,1.40,78
2024-11-20,26.3,21.6,0.50,82
2024-11-21,29.0,22.0,0.80,78
2024-11-22,29.0,21.4,0.00,76
2024-11-23,29.2,21.1,0.00,71
2024-11-24,30.8,22.0,0.00,72
2024-11-25,30.8,22.5,0.40,69
2024-11-26,30.1,22.5,20.10,78
2024-11-27,26.0,21.6,0.30,84
2024-11-28,30.0,21.4,0.00,74
2024-11-29,29.9,20.9,0.00,78
2024-11-30,28.7,21.3,0.20,78
2024-12-01,29.4,22.0,26.20,90
2024-12-02,27.1,21.6,1.10,92
2024-12-03,28.5,21.3,2.00,87
2024-12-04,28.9,22.6,0.90,77
2024-12-05,29.3,22.3,1.00,79
2024-12-06,30.2,22.4,0.20,75
2024-12-07,31.1,21.5,8.70,75
2024-12-08,31.1,22.0,0.10,68
2024-12-09,31.4,22.2,0.10,64
2024-12-10,32.0,21.7,1.90,66
2024-12-11,30.1,22.7,0.00,64
2024-12-12,25.4,22.0,14.00,87
2024-12-13,25.4,21.3,6.40,89
2024-12-14,25.9,21.5,2.80,82
2024-12-15,27.0,20.0,0.00,76
2024-12-16,27.6,19.1,0.00,73
2024-12-17,29.6,20.0,0.00,67
2024-12-18,30.4,20.6,0.00,69
2024-12-19,31.0,21.1,0.10,72
2024-12-20,31.4,21.4,0.00,74
2024-12-21,31.5,22.0,0.10,71
2024-12-22,31.0,22.8,0.50,69
2024-12-23,30.3,20.8,0.00,62
2024-12-24,30.8,20.5,0.00,65
2024-12-25,31.5,21.1,0.00,63
2024-12-26,31.6,22.0,3.20,70
2024-12-27,29.2,21.6,18.10,83
2024-12-28,28.0,21.4,1.30,78
2024-12-29,28.5,21.5,2.50,75
2024-12-30,28.5,21.5,3.50,78
2024-12-31,28.6,21.5,0.80,74
2025-01-01,28.6,19.7,0.00,69
